Pokedex_Number,Name,Image,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00980,Clodsire,75.png,"Poison, Ground",Poison Point Water Absorb Unaware,130,75,60,45,100,20
#00981,Farigiraf,76.png,"Normal, Psychic",Cud Chew Armor Tail Sap Sipper,120,90,70,110,70,60
#00982,Dudunsparce,77.png,Normal,Serene Grace Run Away Rattled,125,100,80,85,75,55
#00983,Kingambit,78.png,"Dark, Steel",Defiant Supreme Overlord Pressure,100,135,120,60,85,50
#00984,Great Tusk,79.png,"Ground, Fighting",Protosynthesis,115,131,131,53,53,87
#00985,Scream Tail,80.png,"Fairy, Psychic",Protosynthesis,115,65,99,65,115,111
#00986,Brute Bonnet,81.png,"Grass, Dark",Protosynthesis,111,127,99,79,99,55
#00987,Flutter Mane,82.png,"Ghost, Fairy",Protosynthesis,55,55,55,135,135,135
#00988,Slither Wing,83.png,"Bug, Fighting",Protosynthesis,85,135,79,85,105,81
#00989,Sandy Shocks,84.png,"Electric, Ground",Protosynthesis,85,81,97,121,85,101
#00990,Iron Treads,85.png,"Ground, Steel",Quark Drive,90,112,120,72,70,106
#00991,Iron Bundle,86.png,"Ice, Water",Quark Drive,56,80,114,124,60,136
#00992,Iron Hands,87.png,"Fighting, Electric",Quark Drive,154,140,108,50,68,50
#00993,Iron Jugulis,88.png,"Dark, Flying",Quark Drive,94,80,86,122,80,108
#00994,Iron Moth,89.png,"Fire, Poison",Quark Drive,80,70,60,140,110,110
#00995,Iron Thorns,90.png,"Rock, Electric",Quark Drive,100,134,110,70,84,72
#00996,Frigibax,91.png,"Dragon, Ice",Thermal Exchange Ice Body,65,75,45,35,45,55
#00997,Arctibax,92.png,"Dragon, Ice",Thermal Exchange Ice Body,90,95,66,45,65,62
#00998,Baxcalibur,93.png,"Dragon, Ice",Thermal Exchange Ice Body,115,145,92,75,86,87
#00999,Gimmighoul,94.png,Ghost,Rattled,45,30,70,75,70,10
#1000,Gholdengo,95.png,"Steel, Ghost",Good as Gold,87,60,95,133,91,84
#1001,Wo-Chien,96.png,"Dark, Grass",Tablets of Ruin,85,85,100,95,135,70
#1002,Chien-Pao,97.png,"Dark, Ice",Sword of Ruin,80,120,80,90,65,135
#1003,Ting-Lu,98.png,"Dark, Ground",Vessel of Ruin,155,110,125,55,80,45
#1004,Chi-Yu,99.png,"Dark, Fire",Beads of Ruin,55,80,80,135,120,100
#1005,Roaring Moon,100.png,"Dragon, Dark",Protosynthesis,105,139,71,55,101,119
#1006,Iron Valiant,101.png,"Fairy, Fighting",Quark Drive,74,130,90,120,60,116
#1007,Koraidon,102.png,"Fighting, Dragon",Orichalcum Pulse,100,135,115,85,100,135
#1008,Miraidon,103.png,"Electric, Dragon",Hadron Engine,100,85,100,135,115,135
#1009,Walking Wake,104.png,"Water, Dragon",Protosynthesis,99,83,91,125,83,109
#1010,Iron Leaves,105.png,"Grass, Psychic",Quark Drive,90,130,88,70,108,104
